order_number,beginning_date,end_date,one_year_rate,one_year_footnote,one_year_first_half_rate,one_year_second_half_rate,two_year_rate,two_year_footnote,two_year_first_year_rate,two_year_first_year_rate_footnotes,two_year_second_year_rate,two_year_second_year_rate_footnotes,three_year_rate,three_year_footnotes,guideline_note,guideline_note_footnotes,vacancy_lease,vacancy_lease_rate,vacancy_lease_footnotes,electrical_inclusion,electrical_inclusion_footnotes,fair_marrket_rent_guidelines,fair_market_rent_guidelines_footnotes,scenario_condition_notes,tenant_paid_heat,is_vacancy_scenario,has_rent_condition,has_bldg_unit_condition,has_vacancy_allowance_condition,has_tenancy_change_condition,has_lease_start_condition,has_lease_term_condition,is_vacancy_decontrol_era,condition_date_1,condition_date_2,rent_condition_comparison,rent_condition_threshold_1,rent_condition_threshold_2,bldg_unit_condition_comparison,bldg_unit_condition_threshold,vacancy_allowance_condition_type,vacancy_allowance_threshold_pct_1,vacancy_allowance_threshold_pct_2,tenancy_change_condition_type,lease_start_condition_type,lease_term_years
44,10/1/2012,9/30/2013,0.02,,0.02,0.02,0.04,,0.04,,0.04,,,,,,,0,"4, 5",,,Greater of MBR + 30% or H.U.D.'s Fair Market Rent,6,Standard (Rate is 2% or $20),,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
43,10/1/2011,9/30/2012,0.0375,,0.0375,0.0375,0.0725,,0.0725,,0.0725,,,,,,,0,"4, 5",,,Greater of MBR + 30% or H.U.D.'s Fair Market Rent,6,Standard,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
42,10/1/2010,9/30/2011,0.0225,,0.0225,0.0225,0.045,,0.045,,0.045,,,,,,,0,"4, 5",,,Greater of MBR + 50% or H.U.D.'s Fair Market Rent,6,Standard,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
41,10/1/2009,9/30/2010,0.03,7,0.03,0.03,0.06,7,0.06,,0.06,,,,,,,0,"4, 5",,,Greater of MBR + 50% or H.U.D.'s Fair Market Rent,6,Owner pays heat,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
41,10/1/2009,9/30/2010,0.025,8,0.025,0.025,0.05,8,0.05,,0.05,,,,,,,0,"4, 5",,,Greater of MBR + 50% or H.U.D.'s Fair Market Rent,6,Tenant pays heat,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
40,10/1/2008,9/30/2009,0.045,7,0.045,0.045,0.085,7,0.085,,0.085,,,,,,,0,"4, 5",,,Greater of MBR + 50% or H.U.D.'s Fair Market Rent,6,Owner pays heat,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
40,10/1/2008,9/30/2009,0.04,8,0.04,0.04,0.08,8,0.08,,0.08,,,,,,,0,"4, 5",,,Greater of MBR + 50% or H.U.D.'s Fair Market Rent,6,Tenant pays heat,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
39,10/1/2007,9/30/2008,0.03,,0.03,0.03,0.0575,,0.0575,,0.0575,,,,,,,0,"4, 5",,,Greater of MBR + 50% or H.U.D.'s Fair Market Rent,6,Standard,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
38,10/1/2006,9/30/2007,0.0425,7,0.0425,0.0425,0.0725,7,0.0725,,0.0725,,,,,,,0,"4, 5",,,Greater of MBR + 50% or H.U.D.'s Fair Market Rent,6,Owner pays heat,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
38,10/1/2006,9/30/2007,0.0375,8,0.0375,0.0375,0.0675,8,0.0675,,0.0675,,,,,,,0,"4, 5",,,Greater of MBR + 50% or H.U.D.'s Fair Market Rent,6,Tenant pays heat,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
37,10/1/2005,9/30/2006,0.0275,7,0.0275,0.0275,0.055,7,0.055,,0.055,,,,,,,0,"4, 5",,,Greater of MBR + 50% or H.U.D.'s Fair Market Rent,6,Owner pays heat,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
37,10/1/2005,9/30/2006,0.0225,8,0.0225,0.0225,0.045,8,0.045,,0.045,,,,,,,0,"4, 5",,,Greater of MBR + 50% or H.U.D.'s Fair Market Rent,6,Tenant pays heat,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
36,10/1/2004,9/30/2005,0.035,7,0.035,0.035,0.065,7,0.065,,0.065,,,,,,,0,"4, 5",,,Greater of MBR + 50% or H.U.D.'s Fair Market Rent,6,Owner pays heat,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
36,10/1/2004,9/30/2005,0.03,8,0.03,0.03,0.06,8,0.06,,0.06,,,,,,,0,"4, 5",,,Greater of MBR + 50% or H.U.D.'s Fair Market Rent,6,Tenant pays heat,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
35,10/1/2003,9/30/2004,0.045,,0.045,0.045,0.075,,0.075,,0.075,,,,,,,0,"4, 5",,,Greater of MBR + 50% or H.U.D.'s Fair Market Rent,6,Standard,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
34,10/1/2002,9/30/2003,0.02,,0.02,0.02,0.04,,0.04,,0.04,,,,,,,0,"4, 5",,,Greater of MBR + 50% or H.U.D.'s Fair Market Rent,6,Standard,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
33,10/1/2001,9/30/2002,0.04,,0.04,0.04,0.06,,0.06,,0.06,,,,,,,0,"4, 5",,,Greater of MBR + 150% + Fuel Adjustments or H.U.D's Fair Market Rent,6,Standard,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
32,10/1/2000,9/30/2001,0.04,,0.04,0.04,0.06,,0.06,,0.06,,,,"(Rent <$500, add $15)",,,0,"4, 5",,,Greater of MBR + 150% + Fuel Adjustments or H.U.D.'s Fair Market Rent,6,Standard,,0,0,0,1,0,0,0,0,,,lt,500,,,,,,,,,
31,10/1/1999,9/30/2000,0.02,,0.02,0.02,0.04,,0.04,,0.04,,,,"(Rent <$500, add $15)",,,0,"4, 9",,,Greater of MBR + 150%+ Fuel Adjustments or H.U.D.'s Fair Market Rent,6,Standard,,0,0,0,1,0,0,0,0,,,lt,500,,,,,,,,,
30,10/1/1998,9/30/1999,0.02,,0.02,0.02,0.04,,0.04,,0.04,,,,"(Rent <$450, add $15)",11,,0,"4, 10",,,Greater of MBR + 80% + Fuel Adjustments or $650,,Standard,,0,0,0,1,0,0,0,0,,,lt,450,,,,,,,,,
29,10/1/1997,9/30/1998,0.02,,0.02,0.02,0.04,,0.04,,0.04,,,,"(Rent <$400, add $15)",12,,0,"4, 10",,,Greater of MBR + 40% + Fuel adjustment or MCR + 50% + Fuel Adjustment,,Standard,,0,0,0,1,0,0,0,0,,,lt,400,,,,,,,,,
28,10/1/1996,9/30/1997,0.05,,0.05,0.05,0.07,,0.07,,0.07,,,,"(Rent <$400, add $20)",,9%,0.09,13,,,Greater of MBR + 40% + Fuel adjustment or MCR + 50% + Fuel Adjustment,,Standard,,1,0,0,1,0,0,0,0,,,lt,400,,,,,,,,,
27,10/1/1995,9/30/1996,0.02,,0.02,0.02,0.04,,0.04,,0.04,,,,"(Rent <$400, add $20)",,8.50%,0.085,13,,,Greater of 35% above MBR or 45% above the MCR,,Standard,,1,0,0,1,0,0,0,0,,,lt,400,,,,,,,,,
26,10/1/1994,9/30/1995,0.02,,0.02,0.02,0.04,,0.04,,0.04,,,,"(Rent <$400, add $15)",15,10%,0.1,"13, 14",,,Greater of 35% above MBR or 40% above the MCR,,"Vacancy: Rent < $400, <=30 units",,1,1,1,0,0,0,0,0,,,lt,400,,lte,30,,,,,,
26,10/1/1994,9/30/1995,0.02,,0.02,0.02,0.04,,0.04,,0.04,,,,"(Rent <$400, add $15)",15,5%,0.05,"13, 14",,,Greater of 35% above MBR or 40% above the MCR,,Vacancy: Other buildings/rents < $1000,,1,1,0,0,0,0,0,0,,,lt,1000,,,,,,,,,
25,10/1/1993,9/30/1994,0.03,,0.03,0.03,0.05,,0.05,,0.05,,,,,,5%,0.05,"13, 16",,,MCR + 40%,,Vacancy: Rent < $500,,1,1,0,0,0,0,0,0,,,lt,500,,,,,,,,,
25,10/1/1993,9/30/1994,0.03,,0.03,0.03,0.05,,0.05,,0.05,,,,,,3%,0.03,"13, 16",,,MCR + 40%,,Vacancy: Rent >= $500 < $1000,,1,1,0,0,0,0,0,0,,,gte_lt,500,1000,,,,,,,,
25,10/1/1993,9/30/1994,0.03,,0.03,0.03,0.05,,0.05,,0.05,,,,,,0%,0,"13, 16",,,MCR + 40%,,Vacancy: Rent >= $1000,,1,1,0,0,0,0,0,0,,,gte,1000,,,,,,,,,
24,10/1/1992,9/30/1993,0.03,,0.03,0.03,0.05,,0.05,,0.05,,,,,,5%,0.05,13,,,MBR +15% + Fuel Adjustment,,Standard,,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
23,10/1/1991,9/30/1992,0.04,,0.04,0.04,0.065,,0.065,,0.065,,,,,,5%,0.05,13,,,MBR + 15% + Fuel Adjustment,,Standard,,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
22,10/1/1990,9/30/1991,0.045,,0.045,0.045,0.07,,0.07,,0.07,,,,,,5%,0.05,13,,,MCR + 35% + Fuel Adjustment,,Standard,,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
21,10/1/1989,9/30/1990,0.055,,0.055,0.055,0.09,,0.09,,0.09,,,,"(Rent < $325, add $5)",17,12%,0.12,13,,,Greater of 25% above MBR or 45% above MCR + Fuel Adjustment,,Standard,,1,0,0,1,0,0,0,0,,,lt,325,,,,,,,,,
20,10/1/1988,9/30/1989,0.06,,0.06,0.06,0.09,,0.09,,0.09,,,,"(Rent < $325, add $5)",18,12%,0.12,13,,,Greater of 25% above MBR or 45% above MCR + Fuel Adjustment,,Standard,,1,0,0,1,0,0,0,0,,,lt,325,,,,,,,,,
19,10/1/1987,9/30/1988,0.03,,0.03,0.03,0.065,,0.065,,0.065,,,,"(Rent < $325, add $10)",20,10%,0.1,19,,,1986 MBR + Fuel Adjustment + 35%,,Standard,,1,0,0,1,0,0,0,0,,,lt,325,,,,,,,,,
18,10/1/1986,9/30/1987,0.06,,0.06,0.06,0.09,,0.09,,0.09,,,,"(Rent < $350, add $15)",21,7.50%,0.075,19,,,1986 MBR + Fuel Adjustment + 20%,,Standard,,1,0,0,1,0,0,0,0,,,lt,350,,,,,,,,,
17,10/1/1985,9/30/1986,0.04,,0.04,0.04,0.065,,0.065,,0.065,,,,"(Rent < $300, add $15)",22,7.50%,0.075,19,,,1984 MBR + Fuel Adjustment + 20%,,Standard,,1,0,0,1,0,0,0,0,,,lt,300,,,,,,,,,
16,10/1/1984,9/30/1985,0.06,,0.06,0.06,0.09,,0.09,,0.09,,,,"(Rent < $250, add $10)",24,7.50%,0.075,"19, 23",,,1984 MBR + Fuel Adjustment + 15%,,Standard,,1,0,0,1,0,0,0,0,,,lt,250,,,,,,,,,
15,10/1/1983,9/30/1984,0.04,,0.04,0.04,0.07,,0.07,,0.07,,0.1,,"(Rent < $200, add $10)",26,0%,0,25,-1,,1982 MBR+Fuel Adj.+20%,,Vacancy: 15%+ Vacancy Allowance since 7/1/79,,1,0,0,1,1,0,0,0,1979-07-01,,lt,200,,,,pct_comp,15,,,,
15,10/1/1983,9/30/1984,0.04,,0.04,0.04,0.07,,0.07,,0.07,,0.1,,"(Rent < $200, add $10)",26,5%,0.05,25,-1,,1982 MBR+Fuel Adj.+20%,,Vacancy: >0% to <15% Vacancy Allowance since 6/1/79,,1,0,0,1,1,0,0,0,1979-06-01,,lt,200,,,,pct_comp,0,15,,,
15,10/1/1983,9/30/1984,0.04,,0.04,0.04,0.07,,0.07,,0.07,,0.1,,"(Rent < $200, add $10)",26,10%,0.1,25,-1,,1982 MBR+Fuel Adj.+20%,,Vacancy: Last Vacancy Allowance 7/1/75-6/30/79,,1,0,0,1,1,0,0,0,1975-07-01,1979-06-30,lt,200,,,,period,,,,,
15,10/1/1983,9/30/1984,0.04,,0.04,0.04,0.07,,0.07,,0.07,,0.1,,"(Rent < $200, add $10)",26,15%,0.15,25,-1,,1982 MBR+Fuel Adj.+20%,,Vacancy: No Vacancy Allowance since 7/1/75,,1,0,0,1,1,0,0,0,1975-07-01,,lt,200,,,,none_since,,,,,
14,10/1/1982,9/30/1983,0.04,,0.04,0.04,0.07,,0.07,,0.07,,0.1,,,,None,,,-1,,1982 MBR + Fuel Adj + 15%,,Standard,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
13,10/1/1981,9/30/1982,0.1,7,0.1,0.1,0.13,7,0.13,,0.13,,0.16,7,,,15%,0.15,,4,,20% above 1980 MBR,27,Owner pays heat,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
13,10/1/1981,9/30/1982,0.065,8,0.065,0.065,0.095,8,0.095,,0.095,,0.125,8,,,15%,0.15,,4,,20% above 1980 MBR,27,Tenant pays heat,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
"12, 12a",7/1/1980,6/30/1981,0.11,7,0.11,0.11,0.14,7,0.14,,0.14,,0.17,7,,,5%,0.05,"29, 30, 31",1.5,,15% above 1980 MBR,28,Owner pays heat; Vacancy: Change in tenancy since 7/1/75,0,1,0,0,0,1,0,0,0,1975-07-01,,,,,,,,,,change,,
"12, 12a",7/1/1980,6/30/1981,0.11,7,0.11,0.11,0.14,7,0.14,,0.14,,0.17,7,,,10%,0.1,"29, 30, 31",1.5,,15% above 1980 MBR,28,Owner pays heat; Vacancy: No change in tenancy since 7/1/75,0,1,0,0,0,1,0,0,0,1975-07-01,,,,,,,,,,no_change,,
"12, 12a",7/1/1980,6/30/1981,0.11,7,0.11,0.11,0.14,7,0.14,,0.14,,0.17,7,,,15%,0.15,"29, 30, 31",1.5,,15% above 1980 MBR,28,Owner pays heat; Vacancy: New lease >= 7/1/81,0,1,0,0,0,0,1,0,0,1981-07-01,,,,,,,,,,,gte,
"12, 12a",7/1/1980,6/30/1981,0.05,8,0.05,0.05,0.07,8,0.07,,0.07,,0.09,8,,,5%,0.05,"29, 30, 31",1.5,,15% above 1980 MBR,28,Tenant pays heat; Vacancy: Change in tenancy since 7/1/75,1,1,0,0,0,1,0,0,0,1975-07-01,,,,,,,,,,change,,
"12, 12a",7/1/1980,6/30/1981,0.05,8,0.05,0.05,0.07,8,0.07,,0.07,,0.09,8,,,10%,0.1,"29, 30, 31",1.5,,15% above 1980 MBR,28,Tenant pays heat; Vacancy: No change in tenancy since 7/1/75,1,1,0,0,0,1,0,0,0,1975-07-01,,,,,,,,,,no_change,,
"12, 12a",7/1/1980,6/30/1981,0.05,8,0.05,0.05,0.07,8,0.07,,0.07,,0.09,8,,,15%,0.15,"29, 30, 31",1.5,,15% above 1980 MBR,28,Tenant pays heat; Vacancy: New lease >= 7/1/81,1,1,0,0,0,0,1,0,0,1981-07-01,,,,,,,,,,,gte,
"11, 11a, 11b",7/1/1979,6/30/1980,0.085,,0.085,0.085,0.12,,0.12,,0.12,,0.15,,,,5%,0.05,"33, 34",,,20% above 1978 MBR,32,Vacancy: Lease begins 7/1/79-1/31/80,,1,0,0,0,0,1,0,0,1979-07-01,1980-01-31,,,,,,,,,,,
"11, 11a, 11b",7/1/1979,6/30/1980,0.085,,0.085,0.085,0.12,,0.12,,0.12,,0.15,,,,15%,0.15,"33, 34",,,20% above 1978 MBR,32,Vacancy: Lease begins 2/1/80-6/30/80,,1,0,0,0,0,1,0,0,1980-02-01,1980-06-30,,,,,,,,,,,
"10b,c,d,e",7/1/1978,6/30/1979,0.025,35,0.025,0.025,0.02,35,0.02,,0.02,,0.005,35,,,10%,0.1,36,,,,35,Standard (Fuel adjustments apply per footnote 35),,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
"10,10a",7/1/1978,6/30/1979,0.045,,0.045,0.045,0.065,,0.065,,0.065,,0.085,,,,5%,0.05,,0.5,,15% above 1978 MBR,,Standard,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
9,7/1/1977,6/30/1978,0.065,,0.065,0.065,0.085,,0.085,,0.085,,0.115,,,,5%,0.05,,4,37,20% above 1976 MBR,,Standard,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
8,7/1/1976,6/30/1977,0.065,,0.065,0.065,0.08,,0.08,,0.08,,0.11,,,,5%,0.05,,3.5,37,15% above 1976 MBR,38,Standard,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
7,7/1/1975,6/30/1976,0.075,,0.075,0.075,0.095,,0.095,,0.095,,0.125,,,,5%,0.05,,3.5,,22.5% above 1974 MBR,38,Standard,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
"6,6a,6b,6c",7/1/1974,6/30/1975,0.085,,0.085,0.085,0.105,,0.105,,0.105,,0.12,,,,None,,,2.5,39,15% above 1974 MBR,38,Standard,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
5,7/1/1973,6/30/1974,0.065,,0.065,0.065,0.085,,0.085,,0.085,,0.105,,,,5%,0.05,41,,,,40,Standard (Vacancy Decontrol Era),,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
4,7/1/1972,6/30/1973,0.06,,0.06,0.06,0.08,,0.08,,0.08,,0.1,,,,5%,0.05,41,,,,42,Standard (Vacancy Decontrol Era),,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
3,7/1/1971,6/30/1972,0.07,,0.07,0.07,0.09,,0.09,,0.09,,0.12,,,,10%,0.1,41,,,,43,Standard (Vacancy Decontrol Era),,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
2,7/1/1970,6/30/1971,0.06,,0.06,0.06,0.08,,0.08,,0.08,,0.11,,,,7.50%,0.075,,,,,44,Standard,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
1,7/1/1968,6/30/1970,0.1,45,0.1,0.1,0.1,,0.1,,0.1,,0.15,,,,5%,0.05,"46, 47",,,,,Vacancy: 2-year lease,,1,0,0,0,0,0,1,0,,,,,,,,,,,,,2
1,7/1/1968,6/30/1970,0.1,45,0.1,0.1,0.1,,0.1,,0.1,,0.15,,,,10%,0.1,"46, 47",,,,,Vacancy: 3-year lease,,1,0,0,0,0,0,1,0,,,,,,,,,,,,,3
